episode,step,reward,total_reward,player_y,player_vel,next_pipe_dist_to_player,next_pipe_top_y,next_pipe_bottom_y,next_next_pipe_dist_to_player,next_next_pipe_top_y,next_next_pipe_bottom_y
0,0,0.0,0.0,248.0,-8.0,305.0,53,153,449.0,153,253
0,1,0.0,0.0,240.0,-8.0,301.0,53,153,445.0,153,253
0,2,0.0,0.0,233.0,-7.0,297.0,53,153,441.0,153,253
0,3,0.0,0.0,227.0,-6.0,293.0,53,153,437.0,153,253
0,4,0.0,0.0,222.0,-5.0,289.0,53,153,433.0,153,253
0,5,0.0,0.0,218.0,-4.0,285.0,53,153,429.0,153,253
0,6,0.0,0.0,215.0,-3.0,281.0,53,153,425.0,153,253
0,7,0.0,0.0,213.0,-2.0,277.0,53,153,421.0,153,253
0,8,0.0,0.0,212.0,-1.0,273.0,53,153,417.0,153,253
0,9,0.0,0.0,212.0,0.0,269.0,53,153,413.0,153,253
0,10,0.0,0.0,213.0,1.0,265.0,53,153,409.0,153,253
0,11,0.0,0.0,215.0,2.0,261.0,53,153,405.0,153,253
0,12,0.0,0.0,218.0,3.0,257.0,53,153,401.0,153,253
0,13,0.0,0.0,222.0,4.0,253.0,53,153,397.0,153,253
0,14,0.0,0.0,227.0,5.0,249.0,53,153,393.0,153,253
0,15,0.0,0.0,233.0,6.0,245.0,53,153,389.0,153,253
0,16,0.0,0.0,240.0,7.0,241.0,53,153,385.0,153,253
0,17,0.0,0.0,248.0,8.0,237.0,53,153,381.0,153,253
0,18,0.0,0.0,257.0,9.0,233.0,53,153,377.0,153,253
0,19,0.0,0.0,267.0,10.0,229.0,53,153,373.0,153,253
0,20,0.0,0.0,277.0,10.0,225.0,53,153,369.0,153,253
0,21,0.0,0.0,287.0,10.0,221.0,53,153,365.0,153,253
0,22,0.0,0.0,297.0,10.0,217.0,53,153,361.0,153,253
0,23,0.0,0.0,307.0,10.0,213.0,53,153,357.0,153,253
0,24,0.0,0.0,317.0,10.0,209.0,53,153,353.0,153,253
0,25,0.0,0.0,327.0,10.0,205.0,53,153,349.0,153,253
0,26,0.0,0.0,337.0,10.0,201.0,53,153,345.0,153,253
0,27,0.0,0.0,347.0,10.0,197.0,53,153,341.0,153,253
0,28,0.0,0.0,357.0,10.0,193.0,53,153,337.0,153,253
0,29,0.0,0.0,367.0,10.0,189.0,53,153,333.0,153,253
0,30,0.0,0.0,377.0,10.0,185.0,53,153,329.0,153,253
0,31,0.0,0.0,387.0,10.0,181.0,53,153,325.0,153,253
0,32,-5.0,-5.0,397.0,10.0,177.0,53,153,321.0,153,253
0,0,0.0,0.0,248.0,-8.0,305.0,85,185,449.0,80,180
0,1,0.0,0.0,240.0,-8.0,301.0,85,185,445.0,80,180
0,2,0.0,0.0,233.0,-7.0,297.0,85,185,441.0,80,180
0,3,0.0,0.0,227.0,-6.0,293.0,85,185,437.0,80,180
0,4,0.0,0.0,222.0,-5.0,289.0,85,185,433.0,80,180
0,5,0.0,0.0,218.0,-4.0,285.0,85,185,429.0,80,180
0,6,0.0,0.0,215.0,-3.0,281.0,85,185,425.0,80,180
0,7,0.0,0.0,213.0,-2.0,277.0,85,185,421.0,80,180
0,8,0.0,0.0,212.0,-1.0,273.0,85,185,417.0,80,180
0,9,0.0,0.0,204.0,-8.0,269.0,85,185,413.0,80,180
0,10,0.0,0.0,196.0,-8.0,265.0,85,185,409.0,80,180
0,11,0.0,0.0,189.0,-7.0,261.0,85,185,405.0,80,180
0,12,0.0,0.0,183.0,-6.0,257.0,85,185,401.0,80,180
0,13,0.0,0.0,178.0,-5.0,253.0,85,185,397.0,80,180
0,14,0.0,0.0,174.0,-4.0,249.0,85,185,393.0,80,180
0,15,0.0,0.0,171.0,-3.0,245.0,85,185,389.0,80,180
0,16,0.0,0.0,169.0,-2.0,241.0,85,185,385.0,80,180
0,17,0.0,0.0,168.0,-1.0,237.0,85,185,381.0,80,180
0,18,0.0,0.0,168.0,0.0,233.0,85,185,377.0,80,180
0,19,0.0,0.0,169.0,1.0,229.0,85,185,373.0,80,180
0,20,0.0,0.0,171.0,2.0,225.0,85,185,369.0,80,180
0,21,0.0,0.0,174.0,3.0,221.0,85,185,365.0,80,180
0,22,0.0,0.0,178.0,4.0,217.0,85,185,361.0,80,180
0,23,0.0,0.0,183.0,5.0,213.0,85,185,357.0,80,180
0,24,0.0,0.0,189.0,6.0,209.0,85,185,353.0,80,180
0,25,0.0,0.0,196.0,7.0,205.0,85,185,349.0,80,180
0,26,0.0,0.0,204.0,8.0,201.0,85,185,345.0,80,180
0,27,0.0,0.0,196.0,-8.0,197.0,85,185,341.0,80,180
0,28,0.0,0.0,188.0,-8.0,193.0,85,185,337.0,80,180
0,29,0.0,0.0,181.0,-7.0,189.0,85,185,333.0,80,180
0,30,0.0,0.0,175.0,-6.0,185.0,85,185,329.0,80,180
0,31,0.0,0.0,170.0,-5.0,181.0,85,185,325.0,80,180
0,32,0.0,0.0,166.0,-4.0,177.0,85,185,321.0,80,180
0,33,0.0,0.0,163.0,-3.0,173.0,85,185,317.0,80,180
0,34,0.0,0.0,161.0,-2.0,169.0,85,185,313.0,80,180
